Temperature, C_v
66.84594760474204, 0.8776735046689907
102.88949187582773, 1.7561093759037512
123.91489270062772, 2.367877214799389
147.68646832703428, 3.0987332986291847
162.10388603546852, 3.601977172383208
190.42381367703587, 4.53767052543731
211.53503246438606, 5.386380068251487
225.82372322899505, 5.959732344265138
243.8454953645379, 6.665618312221643
258.90654779209865, 7.15541673896697
280.53267435475016, 7.890114379084967
294.04900345640726, 8.387115723870668
323.0125658171012, 9.352306741280582
349.53031624511425, 10.244027994678696
366.13609199857865, 10.814499103476198
389.69312271860974, 11.523266238648851
407.9723487418031, 12.063004897140765
441.44135413638276, 12.996983269709062
474.0521799054603, 13.887744134035126
495.07758073026025, 14.377542560780455
529.8338555630928, 15.160259654500933
549.1428971368888, 15.5444152833208
592.0518784119909, 16.34313886157544
635.3041315372936, 16.98019694603505
654.3557192234389, 17.29136300537914
691.6007149702276, 17.820537384078506
713.0552056077785, 18.126901498062352
751.6732887553703, 18.66728041593563
794.5822700304724, 19.18909181174928
813.4622217915172, 19.39461507316791
857.2293826921212, 19.765325254979082
900.4816358174243, 20.143718549366646
919.5332235035695, 20.270489906877202
962.7854766288723, 20.5720520755008
1006.0377297541751, 20.88129735670079
1025.4325892905213, 20.989821321842406
1068.3415705656234, 21.22191534758774
1111.593823690926, 21.469055468795187
1133.0728337463484, 21.573600679209736
1173.8976645023745, 21.734122852680894
1216.8066457774762, 21.950210393892068
1240.8356752915333, 22.074100584186475
1280.7410278773782, 22.205913984325292
1320.2172906504725, 22.34396991343243
1342.1008711007744, 22.40639520311566
1385.009852375876, 22.496031516506964
1425.773384587223, 22.617680798966585
1447.3136931873246, 22.713719706171553
1490.5659463126271, 22.83308234798344
