,var_u,var_e,var_t,C_v_u,C_v_e,E,U,T
0,7144.904466336304,10342.354161390074,1133.1545951901217,2.0261982963770646,0.34058318769078894,-147113.5409029165,-149486.7676468238,1002.7309640311628
0,9090.205650532003,13494.57117830693,1343.2621842076644,2.7021819797809528,0.3354379336196122,-146605.12586496203,-149215.26349180983,1102.8300341070715
0,9990.779409006425,14963.617604494464,1467.8485368348306,0.020719846689930408,2.3459368448824613,-146123.75140631243,-148969.4813343987,1202.3720796244506
0,13006.302189673086,19025.376922811705,1866.6070823490143,2.067616321942911,4.434317500994575,-145556.7355573312,-148636.37849780262,1301.2044217738714
0,14572.00947731607,21263.258195929804,2039.1368971669015,2.5880780916878394,0.22145713812849716,-145065.3780023971,-148380.12627247302,1400.540776388334
0,4620.969744268992,6610.119937297423,721.3441869394928,9.870585308968362,7.502236594388782,-148195.2020815022,-150088.78603276066,800.0733565121853
0,5830.910797931903,8568.74906141329,872.0520351086972,4.61444318881817,2.247695130213153,-147661.20441470234,-149793.54279664403,900.9513098521775
