,var_u,var_e,var_t,C_v_u,C_v_e,E,U,T
0,4676.253005201926,9468.25530494396,838.6085018608615,0.591217588307488,1.775544201257565,152657.81608391608,150292.72428071927,999.2938436363637
0,47.24428350472696,88.05915705822498,8.262088635767112,1.4250220798406015,0.941741969801781,156894.21614385612,156657.1777072927,100.15301487162837
0,5961.75609787864,11850.133042573285,1028.051491430467,1.0415126359394562,1.3253462221920576,156796.6201848152,154193.4577822178,1099.8829058191807
0,6289.834157746212,12515.745263513694,1150.576593159096,1.2539073202242397,1.1128770870650992,155896.9135014985,153058.5496903097,1199.2597370629371
0,8010.824381796231,16213.643595023552,1440.2356338668258,1.6271587445178717,0.739625009087805,153755.2249200799,150676.24859640363,1300.9228704795205
0,9214.685185847835,18303.133329208616,1640.690986799594,0.9370534285631513,1.4297337416015161,157419.12823676324,154107.00411088913,1399.4320333166836
0,193.328920329658,384.62126790742616,33.90911558145273,0.7944563739039029,1.572269682633129,156668.26597402597,156194.79999500499,200.04793413586412
0,420.5319756196,848.9108226091895,76.2818331844325,0.696077513534694,1.6708399175587816,151551.37986513486,150839.89819680323,300.61382087912085
0,818.142282195335,1599.2424396953825,141.37197506544715,1.036149372494913,1.3305898439560222,157550.9952997003,156603.80105894108,400.20658917582415
0,1175.606971876803,2387.81226762359,215.08556717976649,0.13210450177684327,2.234871470017056,160575.0289010989,159390.437017982,500.5113431118881
0,1676.099046003458,3259.4914595248833,289.1509116900403,0.5516519767726743,1.8151717678682597,154692.84368131869,153270.98527472527,600.7606985364635
0,2266.347594873963,4480.159242382511,389.0966626784157,0.7801317995920191,1.5866147511364335,156687.38072427572,155032.83586913088,699.0749887262737
0,2830.981224737637,5845.885268785642,520.0434498133517,0.714965525184958,1.651800632489151,155538.24245754245,153645.6862087912,799.6390755094905
0,3847.2689140404163,7624.127962822228,684.4687681792099,0.9521198939045569,1.4147071770397643,156860.07403096903,154729.04182817184,900.3994053996005
