,var_u,var_e,var_t,C_v_u,C_v_e,E,U,T
0,7144.904466336316,10342.354161390069,1133.1545951901194,3.575981107423562,5.17628517801283,-147113.5409029166,-149486.76764682357,1002.7309640311643
0,9090.20565053198,13494.571178306916,1343.2621842076667,3.761180535528505,5.583539075178305,-146605.12586496197,-149215.2634918101,1102.830034107072
0,9990.779409006418,14963.617604494468,1467.8485368348315,3.477677021150548,5.20866560716202,-146123.75140631243,-148969.481334399,1202.3720796244531
0,13006.302189673086,19025.376922811753,1866.6070823490168,3.8657202367689605,5.654703659051241,-145556.735557331,-148636.37849780245,1301.2044217738728
0,14572.009477316053,21263.258195929764,2039.1368971669021,3.738484385395869,5.455140478179642,-145065.37800239708,-148380.12627247337,1400.5407763883318
0,4620.969744268983,6610.119937297427,721.344186939493,3.632797167777933,5.196576977520403,-148195.2020815024,-150088.78603276046,800.0733565121861
0,5830.910797931895,8568.749061413277,872.0520351086981,3.614942527428894,5.31229793464782,-147661.2044147024,-149793.54279664377,900.9513098521752
